# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20121012
# -------------------------------------------------------

date,os_version,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120915,Android 4.0.3 - 4.0.4,4,407,3,710,391,0,0,0
20120915,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120915,Android 3.2,0,20,0,34,15,0,0,0
20120915,Android 3.1,0,5,0,6,4,0,0,0
20120915,Android 3.0,0,0,0,1,0,0,0,0
20120915,Android 2.3.3 - 2.3.7,0,569,0,1301,545,1,1,0
20120915,0,0,0,0,186,0,0,0,0
20120914,Android 2.3,0,2,0,2,2,0,0,0
20120914,Android 2.2,0,106,0,301,99,0,0,0
20120914,Android 2.1,0,30,0,110,29,0,0,0
20120914,Android 4.1,3,85,1,117,82,1,1,0
20120914,Android 4.0.3 - 4.0.4,2,403,2,705,386,1,1,0
20120914,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120914,Android 3.2,1,20,1,34,15,0,0,0
20120914,Android 3.1,0,5,0,6,4,0,0,0
20120914,Android 3.0,0,0,0,1,0,0,0,0
20120914,Android 2.3.3 - 2.3.7,3,572,2,1303,548,1,1,0
20120914,0,0,0,0,186,0,0,0,0
20120913,Android 2.3,0,2,0,2,2,0,0,0
20120913,Android 2.2,0,107,0,301,100,0,0,0
20120913,Android 2.1,0,30,0,110,29,0,0,0
20120913,Android 4.1,2,85,2,115,82,1,1,0
20120913,Android 4.0.3 - 4.0.4,3,403,1,704,385,1,1,0
20120913,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120913,Android 3.2,0,19,0,33,14,0,0,0
20120913,Android 3.1,0,5,0,6,4,0,0,0
20120913,Android 3.0,0,0,0,1,0,0,0,0
20120913,Android 2.3.3 - 2.3.7,4,569,4,1300,545,1,1,1
20120913,0,0,0,0,186,0,0,0,0
20120912,Android 2.3,0,2,0,2,2,0,0,0
