# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120228
# -------------------------------------------------------

date,carrier,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120224,TDC Switzerland AG,0,1,0,5,1,0,0,0
20120224,T-Mobile - US,0,0,0,2,0,0,0,0
20120224,T-Mobile - PL,0,0,0,1,0,0,0,0
20120224,T-Mobile - MK,0,1,0,1,1,0,0,0
20120224,T-Mobile - AT,0,0,0,2,0,0,0,0
20120224,T-Mobile,0,0,0,1,0,0,0,0
20120224,Singtel,0,1,0,2,1,0,0,0
20120224,SK Telecom,0,1,0,1,1,0,0,0
20120224,SI Mobil,0,0,0,1,0,0,0,0
20120224,Rogers Wireless,0,1,0,1,1,0,0,0
20120224,Plus GSM (Polkomtel S.A.),0,1,0,1,1,0,0,0
20120224,Pannon GSM,0,0,0,1,0,0,0,0
20120224,Otecel S.A. - Bellsouth,0,0,0,1,0,0,0,0
20120224,Orange Communications SA,0,2,0,2,2,0,0,0
20120224,Orange,0,3,0,4,2,0,0,0
20120224,O2 UK Ltd.,0,0,0,1,0,0,0,0
20120224,NTT DOCOMO,0,1,0,1,1,0,0,0
20120224,MobileOne,1,0,1,2,0,1,1,0
20120224,Mobile Telesystems,0,1,0,1,1,0,0,0
20120224,Mobifone,0,0,0,1,0,0,0,0
20120224,Megafon,0,1,0,1,1,0,0,0
20120224,M-Tel GSM BG,0,1,0,2,1,0,0,0
20120224,KT,0,1,0,1,1,0,0,0
20120224,Hutchison 3G UK Ltd.,0,0,0,2,0,0,0,0
20120224,Hutchison 3G Austria,0,0,0,5,0,0,0,0
20120224,H3G,0,1,0,1,1,0,0,0
20120224,Globul,0,1,0,1,1,0,0,0
20120224,Globe Telecom,0,1,0,1,1,0,0,0
20120224,GSM900/HKCSL,0,1,0,1,1,0,0,0
20120224,E-Plus Mobilfunk GmbH & Co. KG,1,134,1,242,128,1,1,2
20120224,Cosmote,0,0,0,2,0,0,0,0
20120224,China Mobile,0,2,0,3,2,0,0,0
20120224,CTMR Cel,0,1,0,1,1,0,0,0
20120224,Bouygues Telecom,0,1,0,1,1,0,0,0
20120224,Bell Mobility,0,0,0,1,0,0,0,0
20120224,BCP,0,0,0,1,0,0,0,0
20120224,Android Emulator,0,0,0,2,0,0,0,0
20120224,Aircel Ltd.,0,0,0,1,0,0,0,0
20120223,unknown,0,0,0,3,0,0,0,0
20120223,o2,1,377,0,708,366,1,1,2
20120223,Xfera,0,0,0,1,0,0,0,0
20120223,Vodafone - RO,0,0,0,1,0,0,0,0
20120223,Vodafone - CH,0,1,0,13,1,0,0,0
20120223,Vodafone - AU,0,0,0,1,0,0,0,0
20120223,Vodafone - AT,0,1,0,5,1,0,0,0
20120223,Vodafone,0,148,0,243,143,0,0,1
20120223,UNKNOWN,1,183,1,371,174,0,0,0
20120223,Telstra,0,1,0,1,1,0,0,0
20120223,Telems Cel,0,0,0,1,0,0,0,0
20120223,Telekom,1,178,0,288,170,0,0,0
20120223,Telecom Italia Mobile (TIM),0,1,0,2,1,0,0,0
20120223,Tele2 Sverige AB,0,1,0,2,1,0,0,0
20120223,TDC Switzerland AG,0,1,0,5,1,0,0,0
20120223,T-Mobile - US,0,0,0,2,0,0,0,0
20120223,T-Mobile - PL,0,0,0,1,0,0,0,0
20120223,T-Mobile - MK,0,1,0,1,1,0,0,0
20120223,T-Mobile - AT,0,0,0,2,0,0,0,0
20120223,T-Mobile,0,0,0,1,0,0,0,0
20120223,Singtel,0,1,0,2,1,0,0,0
20120223,SK Telecom,0,1,0,1,1,0,0,0
20120223,SI Mobil,0,0,0,1,0,0,0,0
20120223,Rogers Wireless,0,1,0,1,1,0,0,0
20120223,Plus GSM (Polkomtel S.A.),0,1,0,1,1,0,0,0
20120223,Otecel S.A. - Bellsouth,0,0,0,1,0,0,0,0
20120223,Orange Communications SA,0,2,0,2,2,0,0,0
20120223,Orange,0,3,0,4,2,0,0,0
20120223,O2 UK Ltd.,0,0,0,1,0,0,0,0
20120223,NTT DOCOMO,0,1,0,1,1,0,0,0
20120223,MobileOne,0,0,0,1,0,0,0,0
20120223,Mobile Telesystems,1,1,1,1,1,0,0,0
