# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120509
# -------------------------------------------------------

date,os_version,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120408,Android 2.2,0,127,0,321,115,0,0,1
20120408,Android 2.1,0,42,0,109,41,0,0,0
20120408,Android 4.0.3 - 4.0.4,2,101,0,150,97,0,0,1
20120408,Android 4.0 - 4.0.2,1,15,0,25,12,0,0,0
20120408,Android 3.2,0,25,0,39,18,0,0,0
20120408,Android 3.1,0,6,0,11,4,0,0,0
20120408,Android 3.0,0,1,0,2,1,0,0,0
20120408,Android 2.3.3+,0,758,0,1419,734,3,3,0
20120408,0,0,0,0,3,0,0,0,0
20120407,Android 2.3,0,1,0,1,1,0,0,0
20120407,Android 2.2,0,128,0,323,116,0,0,0
20120407,Android 2.1,0,42,0,109,41,0,0,0
20120407,Android 4.0.3 - 4.0.4,1,99,0,147,97,0,0,0
20120407,Android 4.0 - 4.0.2,0,15,0,26,12,0,0,0
20120407,Android 3.2,0,27,0,39,19,0,0,0
20120407,Android 3.1,0,6,0,11,4,0,0,0
20120407,Android 3.0,0,1,0,2,1,0,0,0
20120407,Android 2.3.3+,2,761,2,1420,737,1,1,0
20120407,0,0,0,0,2,0,0,0,0
20120406,Android 2.3,0,1,0,1,1,0,0,0
20120406,Android 2.2,1,128,1,323,116,0,0,0
20120406,Android 2.1,0,42,0,109,41,0,0,0
20120406,Android 4.0.3 - 4.0.4,3,98,2,144,96,0,0,0
20120406,Android 4.0 - 4.0.2,0,16,0,26,13,0,0,0
20120406,Android 3.2,0,27,0,39,19,0,0,0
20120406,Android 3.1,0,6,0,11,4,0,0,0
20120406,Android 3.0,0,1,0,2,1,0,0,0
20120406,Android 2.3.3+,2,760,2,1421,736,0,0,1
20120406,0,0,0,0,2,0,0,0,0
20120405,Android 2.3,0,1,0,1,1,0,0,0
20120405,Android 2.2,0,127,0,322,115,0,0,0
20120405,Android 2.1,0,42,0,109,41,1,1,0
20120405,Android 4.0.3 - 4.0.4,4,92,1,135,90,0,0,0
20120405,Android 4.0 - 4.0.2,0,16,0,26,13,0,0,0
20120405,Android 3.2,1,27,1,39,19,1,1,0
20120405,Android 3.1,0,6,0,11,4,0,0,0
20120405,Android 3.0,0,1,0,2,1,0,0,0
20120405,Android 2.3.3+,6,759,3,1424,735,6,6,2
20120405,0,0,0,0,3,0,0,0,0
20120404,Android 2.3,0,1,0,1,1,0,0,0
20120404,Android 2.2,0,126,0,323,114,0,0,0
20120404,Android 2.1,0,43,0,110,43,1,1,0
20120404,Android 4.0.3 - 4.0.4,1,89,0,132,87,0,0,0
20120404,Android 4.0 - 4.0.2,1,16,0,26,13,0,0,0
20120404,Android 3.2,0,27,0,38,19,0,0,0
20120404,Android 3.1,0,6,0,11,4,0,0,0
20120404,Android 3.0,0,1,0,2,1,0,0,0
20120404,Android 2.3.3+,5,759,4,1421,737,3,3,0
20120404,0,0,0,0,3,0,0,0,0
20120403,Android 2.3,0,2,0,1,1,0,0,0
20120403,Android 2.2,0,137,0,355,125,1,1,0
20120403,Android 2.1,1,44,1,110,44,0,0,0
20120403,Android 4.0.3 - 4.0.4,0,64,0,96,62,1,1,1
20120403,Android 4.0 - 4.0.2,1,20,0,31,17,0,0,0
20120403,Android 3.2,0,16,0,24,14,0,0,0
20120403,Android 3.1,0,6,0,11,4,0,0,0
20120403,Android 3.0,0,1,0,2,1,0,0,0
20120403,Android 2.3.3+,0,627,0,1193,612,3,3,0
20120403,0,6,151,3,240,139,0,0,4
20120402,Android 2.3,0,2,0,1,1,0,0,0
20120402,Android 2.2,0,138,0,356,126,1,1,0
20120402,Android 2.1,0,43,0,109,43,0,0,0
20120402,Android 4.0.3 - 4.0.4,2,61,0,92,59,1,1,0
20120402,Android 4.0 - 4.0.2,1,22,0,36,19,1,0,0
20120402,Android 3.2,0,16,0,23,14,0,0,0
20120402,Android 3.1,0,6,0,11,4,0,0,0
20120402,Android 3.0,0,1,0,2,1,0,0,0
20120402,Android 2.3.3+,3,634,3,1197,619,5,4,0
20120402,0,1,143,0,232,131,1,0,0
20120401,Android 2.3,0,2,0,1,1,0,0,0
20120401,Android 2.2,0,138,0,355,126,0,0,0
20120401,Android 2.1,0,43,0,109,43,0,0,0
20120401,Android 4.0.3 - 4.0.4,2,58,1,87,56,0,0,0
20120401,Android 4.0 - 4.0.2,1,23,0,38,20,0,0,0
20120401,Android 3.2,0,16,0,23,14,0,0,0
20120401,Android 3.1,0,6,0,11,4,0,0,0
20120401,Android 3.0,0,1,0,2,1,0,0,0
20120401,Android 2.3.3+,1,639,0,1199,624,3,3,0
20120401,0,0,142,0,230,130,0,0,0
20120331,Android 2.3,0,2,0,1,1,0,0,0
20120331,Android 2.2,0,138,0,356,126,0,0,0
20120331,Android 2.1,0,43,0,110,43,0,0,0
20120331,Android 4.0.3 - 4.0.4,0,56,0,85,54,0,0,0
20120331,Android 4.0 - 4.0.2,0,25,0,39,22,0,0,0
20120331,Android 3.2,1,16,0,23,14,0,0,0
20120331,Android 3.1,0,6,0,11,4,0,0,0
20120331,Android 3.0,0,1,0,2,1,0,0,0
20120331,Android 2.3.3+,0,641,0,1198,626,2,2,1
20120331,0,1,143,0,229,131,1,1,0
20120330,Android 2.3,0,2,0,1,1,0,0,0
20120330,Android 2.2,0,138,0,356,126,0,0,2
20120330,Android 2.1,0,43,0,110,43,1,1,0
