# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120708
# -------------------------------------------------------

date,language,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120704,en_AT,0,1,0,4,1,0,0,0
20120704,el_GR,0,1,0,6,1,0,0,0
20120704,de_US,0,1,0,0,0,0,0,0
20120704,de_NL,0,0,0,1,0,0,0,0
20120704,de_LU,0,2,0,6,2,0,0,0
20120704,de_LI,0,0,0,1,0,0,0,0
20120704,de_IT,0,3,0,6,3,0,0,0
20120704,de_GB,0,2,0,2,2,0,0,0
20120704,de_FR,0,4,0,5,4,0,0,0
20120704,de_ES,0,2,0,2,2,0,0,0
20120704,de_DE,3,946,3,1961,894,2,2,2
20120704,de_CH,1,8,1,23,8,0,0,0
20120704,de_AT,0,12,0,29,11,0,0,0
20120704,de,0,0,0,2,0,0,0,0
20120704,da_DK,0,1,0,1,1,0,0,0
20120703,zh_TW,0,2,0,2,2,0,0,0
20120703,zh_CN,0,6,0,14,6,0,0,0
20120703,unknown,0,0,0,59,0,0,0,0
20120703,tr_TR,0,1,0,2,1,0,0,0
20120703,tr_DE,0,1,0,1,1,0,0,0
20120703,sv_SE,0,3,0,5,3,0,0,0
20120703,sl_SI,0,0,0,2,0,0,0,0
20120703,ru_UA,0,0,0,1,0,0,0,0
20120703,ru_RU,0,4,0,9,4,0,0,0
20120703,ru_DE,0,1,0,1,1,0,0,0
20120703,pt_PT,0,2,0,4,2,0,0,0
20120703,pt_BR,0,6,0,7,6,0,0,0
20120703,pl_PL,0,1,0,4,1,0,0,0
20120703,no_NO,0,0,0,1,0,0,0,0
20120703,nb_NO,0,0,0,2,0,0,0,0
20120703,ld_US,0,1,0,1,1,0,0,0
20120703,ko_KR,0,2,0,5,2,0,0,0
20120703,ja_JP,0,1,0,2,1,0,0,0
20120703,it_IT,0,2,0,4,2,0,0,0
20120703,it_DE,0,0,0,1,0,0,0,0
20120703,hu_HU,0,3,0,2,2,0,0,0
20120703,fr_IT,0,1,0,1,1,0,0,0
20120703,fr_FR,0,2,0,5,2,0,0,0
20120703,es_US,1,1,0,2,0,0,0,0
20120703,es_MX,0,0,0,1,0,0,0,0
20120703,es_IE,0,0,0,1,0,0,0,0
20120703,es_ES,0,6,0,14,6,0,0,0
20120703,es_DE,0,2,0,2,2,0,0,0
20120703,en_US,0,75,0,138,71,0,0,0
20120703,en_SG,0,0,0,1,0,0,0,0
20120703,en_RU,0,0,0,1,0,0,0,0
20120703,en_RO,0,1,0,2,1,0,0,0
20120703,en_NZ,0,0,0,1,0,0,0,0
20120703,en_IN,0,2,0,8,2,0,0,0
20120703,en_IE,0,2,0,3,2,0,0,0
20120703,en_HK,0,1,0,2,1,0,0,0
20120703,en_GB,0,23,0,62,22,0,0,0
20120703,en_FR,0,0,0,1,0,0,0,0
20120703,en_ES,0,0,0,1,0,0,0,0
20120703,en_DK,0,0,0,1,0,0,0,0
20120703,en_DE,0,15,0,34,14,0,0,0
20120703,en_CA,0,1,0,3,1,0,0,0
20120703,en_AU,0,3,0,4,3,0,0,0
20120703,en_AT,0,1,0,4,1,0,0,0
20120703,el_GR,0,1,0,6,1,0,0,0
20120703,de_US,0,1,0,0,0,0,0,0
20120703,de_NL,0,0,0,1,0,0,0,0
20120703,de_LU,0,2,0,6,2,0,0,0
20120703,de_LI,0,0,0,1,0,0,0,0
20120703,de_IT,0,3,0,6,3,0,0,0
20120703,de_GB,0,2,0,2,2,0,0,0
20120703,de_FR,0,4,0,5,4,0,0,0
20120703,de_ES,0,2,0,2,2,0,0,0
20120703,de_DE,6,943,1,1958,891,1,1,0
20120703,de_CH,0,7,0,22,7,0,0,0
20120703,de_AT,0,12,0,29,11,0,0,0
20120703,de,0,0,0,2,0,0,0,0
20120703,da_DK,0,1,0,1,1,0,0,0
20120702,zh_TW,0,2,0,2,2,0,0,0
20120702,zh_CN,0,6,0,14,6,0,0,0
20120702,unknown,0,0,0,59,0,0,0,0
20120702,tr_TR,0,1,0,2,1,0,0,0
20120702,tr_DE,0,1,0,1,1,0,0,0
20120702,sv_SE,0,3,0,5,3,0,0,0
20120702,sl_SI,0,0,0,2,0,0,0,0
20120702,ru_UA,0,0,0,1,0,0,0,0
20120702,ru_RU,0,4,0,9,4,0,0,0
20120702,ru_DE,0,1,0,1,1,0,0,0
20120702,pt_PT,0,2,0,4,2,0,0,0
20120702,pt_BR,0,6,0,7,6,0,0,0
20120702,pl_PL,0,1,0,4,1,0,0,0
20120702,no_NO,0,0,0,1,0,0,0,0
20120702,nb_NO,0,0,0,2,0,0,0,0
20120702,ld_US,0,1,0,1,1,0,0,0
20120702,ko_KR,0,2,0,5,2,0,0,0
20120702,ja_JP,0,1,0,2,1,0,0,0
20120702,it_IT,0,2,0,4,2,0,0,0
20120702,it_DE,0,0,0,1,0,0,0,0
20120702,hu_HU,0,3,0,2,2,0,0,0
20120702,fr_IT,0,1,0,1,1,0,0,0
20120702,fr_FR,0,2,0,5,2,0,0,0
20120702,es_US,0,1,0,2,1,0,0,0
20120702,es_MX,0,0,0,1,0,0,0,0
20120702,es_IE,0,0,0,1,0,0,0,0
20120702,es_ES,0,6,0,14,6,0,0,0
20120702,es_DE,0,2,0,2,2,0,0,0
20120702,en_US,1,74,0,137,70,0,0,0
20120702,en_SG,0,0,0,1,0,0,0,0
20120702,en_RU,0,0,0,1,0,0,0,0
20120702,en_RO,0,1,0,2,1,0,0,0
20120702,en_NZ,0,0,0,1,0,0,0,0
20120702,en_IN,0,2,0,8,2,0,0,0
20120702,en_IE,0,2,0,3,2,0,0,0
20120702,en_HK,0,1,0,2,1,0,0,0
20120702,en_GB,1,23,0,62,22,0,0,0
20120702,en_FR,0,0,0,1,0,0,0,0
20120702,en_ES,0,0,0,1,0,0,0,0
20120702,en_DK,0,0,0,1,0,0,0,0
20120702,en_DE,0,15,0,34,14,0,0,0
20120702,en_CA,0,1,0,3,1,0,0,0
20120702,en_AU,0,3,0,4,3,0,0,0
20120702,en_AT,0,1,0,4,1,0,0,0
20120702,el_GR,0,1,0,6,1,0,0,0
20120702,de_US,0,1,0,0,0,0,0,0
20120702,de_NL,0,0,0,1,0,0,0,0
20120702,de_LU,0,2,0,6,2,0,0,0
20120702,de_LI,0,0,0,1,0,0,0,0
20120702,de_IT,0,3,0,6,3,0,0,0
20120702,de_GB,0,2,0,2,2,0,0,0
20120702,de_FR,0,4,0,5,4,0,0,0
20120702,de_ES,0,2,0,2,2,0,0,0
20120702,de_DE,7,945,3,1958,895,2,2,0
20120702,de_CH,0,7,0,22,7,0,0,0
20120702,de_AT,0,12,0,29,11,0,0,0
20120702,de,0,0,0,2,0,0,0,0
20120702,da_DK,0,1,0,1,1,0,0,0
20120701,zh_TW,0,2,0,2,2,0,0,0
20120701,zh_CN,0,6,0,14,6,0,0,0
20120701,unknown,0,0,0,59,0,0,0,0
20120701,tr_TR,0,1,0,2,1,0,0,0
20120701,tr_DE,0,1,0,1,1,0,0,0
20120701,sv_SE,0,3,0,5,3,0,0,0
20120701,sl_SI,0,0,0,2,0,0,0,0
20120701,ru_UA,0,0,0,1,0,0,0,0
20120701,ru_RU,0,4,0,9,4,0,0,0
20120701,ru_DE,0,1,0,1,1,0,0,0
20120701,pt_PT,0,2,0,5,2,0,0,0
20120701,pt_BR,0,6,0,7,6,0,0,1
20120701,pl_PL,0,1,0,4,1,0,0,0
20120701,no_NO,0,0,0,1,0,0,0,0
20120701,nb_NO,0,0,0,2,0,0,0,0
20120701,ld_US,0,1,0,1,1,0,0,0
20120701,ko_KR,0,2,0,5,2,0,0,0
20120701,ja_JP,0,1,0,2,1,0,0,0
20120701,it_IT,0,2,0,4,2,0,0,0
20120701,it_DE,0,0,0,1,0,0,0,0
20120701,hu_HU,0,3,0,2,2,0,0,0
20120701,fr_IT,0,1,0,1,1,0,0,0
20120701,fr_FR,0,2,0,4,2,0,0,0
20120701,es_US,0,1,0,2,1,0,0,0
20120701,es_MX,0,0,0,1,0,0,0,0
20120701,es_IE,0,0,0,1,0,0,0,0
20120701,es_ES,0,6,0,14,6,0,0,0
20120701,es_DE,0,2,0,2,2,0,0,0
20120701,en_US,1,71,0,135,67,0,0,0
20120701,en_SG,0,0,0,1,0,0,0,0
20120701,en_RU,0,0,0,1,0,0,0,0
20120701,en_RO,0,1,0,2,1,0,0,0
20120701,en_NZ,0,0,0,1,0,0,0,0
20120701,en_IN,0,2,0,8,2,0,0,0
20120701,en_IE,0,2,0,3,2,0,0,0
20120701,en_HK,0,1,0,2,1,0,0,0
20120701,en_GB,0,24,0,62,23,0,0,0
20120701,en_FR,0,0,0,1,0,0,0,0
20120701,en_ES,0,0,0,1,0,0,0,0
20120701,en_DK,0,0,0,1,0,0,0,0
20120701,en_DE,0,15,0,34,14,0,0,0
20120701,en_CA,0,1,0,3,1,0,0,0
20120701,en_AU,0,3,0,4,3,0,0,0
20120701,en_AT,0,1,0,4,1,0,0,0
20120701,el_GR,0,1,0,6,1,0,0,0
20120701,de_US,0,1,0,0,0,0,0,0
20120701,de_NL,0,0,0,1,0,0,0,0
20120701,de_LU,0,2,0,6,2,0,0,0
20120701,de_LI,0,0,0,1,0,0,0,0
20120701,de_IT,0,3,0,6,3,0,0,0
20120701,de_GB,0,2,0,2,2,0,0,0
20120701,de_FR,0,4,0,5,4,0,0,0
20120701,de_ES,0,2,0,2,2,0,0,0
20120701,de_DE,1,946,1,1957,895,1,1,1
20120701,de_CH,0,7,0,22,7,0,0,0
20120701,de_AT,0,12,0,29,11,0,0,0
20120701,de,0,0,0,2,0,0,0,0
20120701,da_DK,0,1,0,1,1,0,0,0
20120630,zh_TW,0,2,0,2,2,0,0,0
20120630,zh_CN,0,6,0,14,6,0,0,0
20120630,unknown,0,0,0,58,0,0,0,0
20120630,tr_TR,0,1,0,2,1,0,0,0
20120630,tr_DE,0,1,0,1,1,0,0,0
20120630,sv_SE,0,3,0,5,3,0,0,0
20120630,sl_SI,0,0,0,2,0,0,0,0
20120630,ru_UA,0,0,0,1,0,0,0,0
20120630,ru_RU,0,4,0,9,4,0,0,0
20120630,ru_DE,0,1,0,1,1,0,0,0
20120630,pt_PT,0,2,0,5,2,0,0,0
20120630,pt_BR,0,6,0,7,6,0,0,0
20120630,pl_PL,0,1,0,4,1,0,0,0
20120630,no_NO,0,0,0,1,0,0,0,0
20120630,nb_NO,0,0,0,2,0,0,0,0
20120630,ld_US,0,1,0,1,1,0,0,0
20120630,ko_KR,0,2,0,5,2,0,0,0
20120630,ja_JP,0,1,0,2,1,0,0,0
20120630,it_IT,0,2,0,4,2,0,0,0
20120630,it_DE,0,0,0,1,0,0,0,0
20120630,hu_HU,0,3,0,2,2,0,0,0
20120630,fr_IT,0,1,0,1,1,0,0,0
20120630,fr_FR,0,2,0,4,2,0,0,0
20120630,es_US,0,1,0,2,1,0,0,0
20120630,es_MX,0,0,0,1,0,0,0,0
20120630,es_IE,0,0,0,1,0,0,0,0
20120630,es_ES,0,6,0,14,6,0,0,0
20120630,es_DE,0,2,0,2,2,0,0,0
20120630,en_US,0,71,0,134,66,0,0,0
20120630,en_SG,0,0,0,1,0,0,0,0
20120630,en_RU,0,0,0,1,0,0,0,0
20120630,en_RO,0,1,0,2,1,0,0,0
20120630,en_NZ,0,0,0,1,0,0,0,0
20120630,en_IN,0,2,0,8,2,0,0,0
20120630,en_IE,0,2,0,3,2,0,0,0
20120630,en_HK,0,1,0,2,1,0,0,0
20120630,en_GB,0,24,0,63,23,1,1,0
20120630,en_FR,0,0,0,1,0,0,0,0
20120630,en_ES,0,0,0,1,0,0,0,0
20120630,en_DK,0,0,0,1,0,0,0,0
20120630,en_DE,0,15,0,34,14,0,0,0
20120630,en_CA,0,1,0,3,1,0,0,0
20120630,en_AU,0,3,0,4,3,0,0,0
20120630,en_AT,0,1,0,4,1,0,0,0
20120630,el_GR,0,1,0,6,1,0,0,0
20120630,de_US,0,1,0,0,0,0,0,0
20120630,de_NL,0,0,0,1,0,0,0,0
20120630,de_LU,0,2,0,6,2,0,0,0
20120630,de_LI,0,0,0,1,0,0,0,0
20120630,de_IT,0,3,0,6,3,0,0,0
20120630,de_GB,0,2,0,2,2,0,0,0
20120630,de_FR,1,4,0,5,3,0,0,0
20120630,de_ES,0,2,0,2,2,0,0,0
20120630,de_DE,5,947,2,1957,897,3,2,0
20120630,de_CH,0,7,0,22,7,0,0,0
20120630,de_AT,0,12,0,29,11,0,0,0
20120630,de,0,0,0,2,0,0,0,0
20120630,da_DK,0,1,0,1,1,0,0,0
20120629,zh_TW,0,1,0,2,1,1,1,0
20120629,zh_CN,0,6,0,14,6,0,0,0
20120629,unknown,0,0,0,57,0,0,0,0
20120629,tr_TR,0,1,0,2,1,0,0,0
20120629,tr_DE,0,1,0,1,1,0,0,0
20120629,sv_SE,0,3,0,5,3,0,0,0
20120629,sl_SI,0,0,0,2,0,0,0,0
20120629,ru_UA,0,0,0,1,0,0,0,0
20120629,ru_RU,0,4,0,9,4,0,0,0
20120629,ru_DE,0,1,0,1,1,0,0,0
20120629,pt_PT,0,2,0,5,2,0,0,0
20120629,pt_BR,0,6,0,7,6,0,0,0
20120629,pl_PL,0,1,0,4,1,0,0,0
